* Block Type = Fast 96-Well Block (0.1mL)
* Calibration Background is expired  = Yes
* Calibration Background performed on = 03-02-2017
* Calibration Normalization FAM-ROX is expired = Yes
* Calibration Normalization FAM-ROX performed on = 03-02-2017
* Calibration Normalization VIC-ROX is expired = Yes
* Calibration Normalization VIC-ROX performed on = 03-02-2017
* Calibration Pure Dye FAM is expired = Yes
* Calibration Pure Dye FAM performed on = 03-02-2017
* Calibration Pure Dye NED is expired = Yes
* Calibration Pure Dye NED performed on = 03-02-2017
* Calibration Pure Dye ROX is expired = Yes
* Calibration Pure Dye ROX performed on = 03-02-2017
* Calibration Pure Dye SYBR is expired = Yes
* Calibration Pure Dye SYBR performed on = 03-02-2017
* Calibration Pure Dye TAMRA is expired = Yes
* Calibration Pure Dye TAMRA performed on = 03-02-2017
* Calibration Pure Dye VIC is expired = Yes
* Calibration Pure Dye VIC performed on = 03-02-2017
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 03-02-2017
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 03-02-2017
* Chemistry = SYBR_GREEN
* Date Created = 2017-12-26 11:03:28 AM CST
* Date Modified = 2017-12-26 13:50:36 PM CST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = D:\PB\2017-12-26 110328.eds
* Experiment Name = 2017-12-26 110328
* Experiment Run Start Time = 2017-12-26 21:15:40 PM CST
* Experiment Run Stop Time = 2017-12-26 22:18:15 PM CST
* Experiment Type = Standard Curve
* Instrument Name = 278860552
* Instrument Serial Number = 278860552
* Instrument Type = QuantStudio(TM) 6 Flex System
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2
* User Name = NA

[Sample Setup]
Well	Well Position	Sample Name	Sample Color	Biogroup Name	Biogroup Color	Target Name	Target Color	Task	Reporter	Quencher	Quantity	Comments
1	A1	2ng gDNA	"RGB(176,23,31)"			q1-204	"RGB(176,23,31)"	UNKNOWN	SYBR	None		
2	A2	TCT2017121801	"RGB(0,0,255)"			q1-204	"RGB(176,23,31)"	UNKNOWN	SYBR	None		
3	A3	TCT2017121802A1	"RGB(0,139,69)"			q1-204	"RGB(176,23,31)"	UNKNOWN	SYBR	None		
4	A4	TCT2017121802A2	"RGB(255,127,0)"			q1-204	"RGB(176,23,31)"	UNKNOWN	SYBR	None		
5	A5	TCT2017122001A1	"RGB(139,137,112)"			q1-204	"RGB(176,23,31)"	UNKNOWN	SYBR	None		
6	A6	TCT2017122001A2	"RGB(238,121,66)"			q1-204	"RGB(176,23,31)"	UNKNOWN	SYBR	None		
7	A7	PB2017122003pool1	"RGB(142,56,142)"			q1-204	"RGB(176,23,31)"	UNKNOWN	SYBR	None		
8	A8	PB2017122003pool2	"RGB(198,113,113)"			q1-204	"RGB(176,23,31)"	UNKNOWN	SYBR	None		
9	A9	PB2017122201pool1	"RGB(176,23,31)"			q1-204	"RGB(176,23,31)"	UNKNOWN	SYBR	None		
10	A10	PB2017122201pool2	"RGB(0,0,255)"			q1-204	"RGB(176,23,31)"	UNKNOWN	SYBR	None		
11	A11	TCT2017121802CK7	"RGB(176,23,31)"			q1-204	"RGB(176,23,31)"	UNKNOWN	SYBR	None		
12	A12	TCT2017121802CK7-P	"RGB(176,23,31)"			q1-204	"RGB(176,23,31)"	UNKNOWN	SYBR	None		
13	B1	2ng gDNA	"RGB(176,23,31)"			q1-204	"RGB(176,23,31)"	UNKNOWN	SYBR	None		
14	B2	TCT2017121801	"RGB(0,0,255)"			q1-204	"RGB(176,23,31)"	UNKNOWN	SYBR	None		
15	B3	TCT2017121802A1	"RGB(0,139,69)"			q1-204	"RGB(176,23,31)"	UNKNOWN	SYBR	None		
16	B4	TCT2017121802A2	"RGB(255,127,0)"			q1-204	"RGB(176,23,31)"	UNKNOWN	SYBR	None		
17	B5	TCT2017122001A1	"RGB(139,137,112)"			q1-204	"RGB(176,23,31)"	UNKNOWN	SYBR	None		
18	B6	TCT2017122001A2	"RGB(238,121,66)"			q1-204	"RGB(176,23,31)"	UNKNOWN	SYBR	None		
19	B7	PB2017122003pool1	"RGB(142,56,142)"			q1-204	"RGB(176,23,31)"	UNKNOWN	SYBR	None		
20	B8	PB2017122003pool2	"RGB(198,113,113)"			q1-204	"RGB(176,23,31)"	UNKNOWN	SYBR	None		
21	B9	PB2017122201pool1	"RGB(176,23,31)"			q1-204	"RGB(176,23,31)"	UNKNOWN	SYBR	None		
22	B10	PB2017122201pool2	"RGB(0,0,255)"			q1-204	"RGB(176,23,31)"	UNKNOWN	SYBR	None		
23	B11	TCT2017121802CK7	"RGB(176,23,31)"			q1-204	"RGB(176,23,31)"	UNKNOWN	SYBR	None		
24	B12	TCT2017121802CK7-P	"RGB(176,23,31)"			q1-204	"RGB(176,23,31)"	UNKNOWN	SYBR	None		
25	C1	2ng gDNA	"RGB(176,23,31)"			q3-221	"RGB(0,0,255)"	UNKNOWN	SYBR	None		
26	C2	TCT2017121801	"RGB(0,0,255)"			q3-221	"RGB(0,0,255)"	UNKNOWN	SYBR	None		
27	C3	TCT2017121802A1	"RGB(0,139,69)"			q3-221	"RGB(0,0,255)"	UNKNOWN	SYBR	None		
28	C4	TCT2017121802A2	"RGB(255,127,0)"			q3-221	"RGB(0,0,255)"	UNKNOWN	SYBR	None		
29	C5	TCT2017122001A1	"RGB(139,137,112)"			q3-221	"RGB(0,0,255)"	UNKNOWN	SYBR	None		
30	C6	TCT2017122001A2	"RGB(238,121,66)"			q3-221	"RGB(0,0,255)"	UNKNOWN	SYBR	None		
31	C7	PB2017122003pool1	"RGB(142,56,142)"			q3-221	"RGB(0,0,255)"	UNKNOWN	SYBR	None		
32	C8	PB2017122003pool2	"RGB(198,113,113)"			q3-221	"RGB(0,0,255)"	UNKNOWN	SYBR	None		
33	C9	PB2017122201pool1	"RGB(176,23,31)"			q3-221	"RGB(0,0,255)"	UNKNOWN	SYBR	None		
34	C10	PB2017122201pool2	"RGB(0,0,255)"			q3-221	"RGB(0,0,255)"	UNKNOWN	SYBR	None		
35	C11	TCT2017121802CK7	"RGB(176,23,31)"			q3-221	"RGB(0,0,255)"	UNKNOWN	SYBR	None		
36	C12	TCT2017121802CK7-P	"RGB(176,23,31)"			q3-221	"RGB(0,0,255)"	UNKNOWN	SYBR	None		
37	D1	2ng gDNA	"RGB(176,23,31)"			q3-221	"RGB(0,0,255)"	UNKNOWN	SYBR	None		
38	D2	TCT2017121801	"RGB(0,0,255)"			q3-221	"RGB(0,0,255)"	UNKNOWN	SYBR	None		
